,p_hat
0,0.016787737469250517
1,0.15798381719746277
2,0.06549956457903322
3,0.10113200368527879
4,0.25771980588964677
5,0.23268795068564066
6,0.927283445825712
7,0.11632239039430209
8,0.08338163540308305
9,0.3796943944149103
10,0.3186610987837313
11,0.2695048198462978
12,0.15746919622342687
13,0.28355962788652644
14,0.127063041417814
15,0.5962227010215002
16,0.04073114174303161
17,0.1234115137013889
18,0.09424128338947632
19,0.17130268041242247
20,0.17044709564456545
21,0.5556205591848787
22,0.19414012852513254
23,0.22864462963491353
24,0.07919322755368484
25,0.6390086525215056
26,0.2168722094552271
27,0.10126876075765956
28,0.9599577227581505
29,0.2476951601009323
30,0.29249382355800235
31,0.2256606087450571
32,0.5325860363122434
33,0.7250636952811801
34,0.08337637233987495
35,0.6498190337424182
36,0.289408431468169
37,0.1523501524657578
38,0.09004531706136161
39,0.07984442296635126
40,0.12300637344317766
41,0.1681607971812303
42,0.10939814879703431
43,0.16659909071020654
44,0.5015136727124061
45,0.6853527492911122
46,0.18415393268720281
47,0.16723983758717814
48,0.13029900907291128
49,0.16637585252373696
50,0.2582726801103386
51,0.2548687497918184
52,0.17337567521742075
53,0.06945719446638537
54,0.04821092693433716
55,0.05803620057508792
56,0.13405015293634198
57,0.3750695229806813
58,0.7018359849817166
59,0.2384016323270038
60,0.3160314761917292
61,0.5886444949073742
62,0.09027959185460353
63,0.3220436761595044
64,0.2009018697326358
65,0.23546706160534006
66,0.022147709951356603
67,0.07165836356596614
68,0.1859515060625919
69,0.027462062825122164
70,0.09428550069385677
71,0.4836039450137347
72,0.3138131883927465
73,0.057465038151527884
74,0.058621369185589335
75,0.014077808248462668
76,0.060319439749125923
77,0.5400205960126037
78,0.0872488839491881
79,0.05260224832860269
80,0.1034694264948189
81,0.2700899003720542
82,0.8317616805333018
83,0.14855430381338253
84,0.7832037385275014
85,0.23849888046506887
86,0.16137682769334608
87,0.13271029205704946
88,0.16598057097605498
89,0.13712219890573377
90,0.19753792732168868
91,0.1411497006258401
92,0.21640647514456451
93,0.042989434394795335
94,0.18502524038466628
95,0.40912450739299344
96,0.0986477115392792
97,0.111131631503821
98,0.5643574615310437
99,0.08972336974010153
100,0.2087704331708593
101,0.1905283774553658
102,0.018256679686156265
103,0.8393356235809916
104,0.3086760069823481
105,0.2965559540811173
106,0.044030660790404075
107,0.16974330289361353
108,0.1764484617348989
109,0.6676799072687694
110,0.18911231167235346
111,0.06501734569856785
112,0.1460742740080294
113,0.33676032766811914
114,0.03745188386574972
115,0.0755536019544526
116,0.05971666633417126
117,0.9895681165026047
118,0.017007021358333544
119,0.059918060786189074
120,0.13261646681744463
121,0.06459598078291962
122,0.1503171152637669
123,0.14190564028422753
124,0.106650337444766
125,0.19155725754354733
126,0.12836313034536406
127,0.06536541397071517
128,0.1913562693724197
129,0.046094587693058214
130,0.26365708939612964
131,0.10619516176406248
132,0.056654678547797675
133,0.07070432042293003
134,0.09262584361725404
135,0.08546762388547635
136,0.30173783537959764
137,0.11978615334948818
138,0.7051183271696123
139,0.040470366682183324
140,0.27545676979613604
141,0.3960558316967308
142,0.17932090136765755
143,0.10446393112955826
144,0.1336443462444793
145,0.1587594318434906
146,0.021847163471082988
147,0.2601584582577907
148,0.43475357228078204
149,0.08735696942118269
150,0.031114240199697763
151,0.0856567085684185
152,0.3566059782445967
153,0.09747659365202202
154,0.5168140414626299
155,0.12178137518853745
156,0.3078148802637901
157,0.31614713905490244
158,0.2533883347554458
159,0.05025729063269886
160,0.10868664702621415
161,0.531251347532017
162,0.08135384065830076
163,0.20821137924300454
164,0.16641816737742465
165,0.16731341982056935
166,0.10738303094402936
167,0.15902132780085626
168,0.057935824385173904
169,0.4024405065889384
170,0.12044981938391475
171,0.34795459220747404
172,0.03718623545885144
173,0.43131729413860276
174,0.10594020586908903
175,0.22432983324737876
176,0.22430099889926766
177,0.14293187453906117
178,0.029330272166993233
179,0.040512024065127994
180,0.27817745440201974
181,0.25687715225529445
182,0.33141417511915844
183,0.24967823739063333
184,0.06482116774756978
185,0.09357392115570502
186,0.15734923680515994
187,0.13744409858408638
188,0.3326497722353667
189,0.5711648242434071
190,0.15260377729650146
191,0.14378059316467773
192,0.17927390359951437
193,0.3017213082854901
194,0.2912096980687487
195,0.11149276587932481
196,0.46480297489600314
197,0.10745369070445256
198,0.08085851936859563
199,0.23234935095008905
200,0.25278181882250234
201,0.28057138895464895
202,0.25885097487116077
203,0.15845935316204274
204,0.8172920215703998
205,0.06141680592456552
206,0.02865441093488749
207,0.0397019758576368
208,0.2200376882144784
209,0.10031281759671394
210,0.14322022956416006
211,0.12154792618252401
212,0.2417981460500834
213,0.06558300709160159
214,0.21616766247799168
215,0.058121487965187534
216,0.08473165115547898
217,0.5205277027391562
218,0.03879489810331883
219,0.07492370189940527
220,0.16961566621591273
221,0.14344692392627048
222,0.5671744773763153
223,0.36595987184176565
224,0.11573885951882348
225,0.1384058863544127
226,0.02452952948207142
227,0.11094918386586755
228,0.13410978711347193
229,0.1510302785602794
230,0.11173251754128893
231,0.11822968536899364
232,0.09697361956965803
233,0.13370420370954664
234,0.13370325086059828
235,0.6665487452355628
236,0.08967897330730994
237,0.06185213952105083
238,0.15764850530138402
239,0.12317124990811903
240,0.10244403358468063
241,0.09973851078600247
242,0.38930899487435233
243,0.13688104056363237
244,0.06572673651609501
245,0.04446833444267718
246,0.1276456321743576
