Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_814,Naive B/Memory B,NA,NA,sample,0.9928057553956835,0.45394736842105265,0.007194244604316547,0.6230248306997743
naiveB_1900_memoryB_814,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.8839285714285714,0.9769736842105263,0.11607142857142858,0.928125
naiveB_1900_memoryB_814,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.8805970149253731,0.9703947368421053,0.11940298507462686,0.9233176838810642
naiveB_1900_memoryB_814,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.8939393939393939,0.9703947368421053,0.10606060606060606,0.9305993690851735
naiveB_1900_memoryB_814,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.8936170212765957,0.9671052631578947,0.10638297872340426,0.928909952606635
naiveB_1900_memoryB_814,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.8905775075987842,0.9638157894736842,0.1094224924012158,0.9257503949447077
naiveB_1900_memoryB_814,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.8909090909090909,0.9671052631578947,0.10909090909090909,0.9274447949526813
naiveB_1900_memoryB_814,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.8878787878787879,0.9638157894736842,0.11212121212121212,0.9242902208201893
naiveB_1900_memoryB_814,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,0.9928057553956835,0.45394736842105265,0.007194244604316547,0.6230248306997743
naiveB_1900_memoryB_814,Naive B/Memory B,PCA,SVM,PCA_SVM,0.8746268656716418,0.9638157894736842,0.1253731343283582,0.917057902973396
naiveB_1900_memoryB_814,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.8814589665653495,0.9539473684210527,0.11854103343465046,0.9162717219589258
naiveB_1900_memoryB_814,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.8734939759036144,0.9539473684210527,0.12650602409638553,0.9119496855345911
naiveB_1900_memoryB_814,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.8746268656716418,0.9638157894736842,0.1253731343283582,0.917057902973396
naiveB_1900_memoryB_814,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.8990825688073395,0.9671052631578947,0.10091743119266056,0.9318541996830428
naiveB_1900_memoryB_814,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.8851963746223565,0.9638157894736842,0.1148036253776435,0.9228346456692913
naiveB_1900_memoryB_814,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.8672566371681416,0.9671052631578947,0.13274336283185842,0.9144634525660964
