Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_721,Naive B/Memory B,NA,NA,sample,1.0,0.3696369636963696,0.0,0.5397590361445783
naiveB_1900_memoryB_721,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9024390243902439,0.976897689768977,0.0975609756097561,0.9381933438985737
naiveB_1900_memoryB_721,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.9,0.9801980198019802,0.1,0.9383886255924171
naiveB_1900_memoryB_721,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.9153605015673981,0.9636963696369637,0.08463949843260188,0.9389067524115755
naiveB_1900_memoryB_721,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.906060606060606,0.9867986798679867,0.09393939393939393,0.9447077409162716
naiveB_1900_memoryB_721,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.8666666666666667,0.9867986798679867,0.13333333333333333,0.9228395061728396
naiveB_1900_memoryB_721,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.8731563421828908,0.976897689768977,0.12684365781710916,0.9221183800623053
naiveB_1900_memoryB_721,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.8963414634146342,0.9702970297029703,0.10365853658536585,0.9318541996830427
naiveB_1900_memoryB_721,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,1.0,0.3696369636963696,0.0,0.5397590361445783
naiveB_1900_memoryB_721,Naive B/Memory B,PCA,SVM,PCA_SVM,0.8963414634146342,0.9702970297029703,0.10365853658536585,0.9318541996830427
naiveB_1900_memoryB_721,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.9153605015673981,0.9636963696369637,0.08463949843260188,0.9389067524115755
naiveB_1900_memoryB_721,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.9040247678018576,0.9636963696369637,0.09597523219814241,0.9329073482428115
naiveB_1900_memoryB_721,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.8953846153846153,0.9603960396039604,0.10461538461538461,0.9267515923566879
naiveB_1900_memoryB_721,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.8720238095238095,0.966996699669967,0.12797619047619047,0.917057902973396
naiveB_1900_memoryB_721,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.8885448916408669,0.9471947194719472,0.11145510835913312,0.9169329073482428
naiveB_1900_memoryB_721,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.879154078549849,0.9603960396039604,0.12084592145015106,0.917981072555205
