Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_721,LinearSCVI_10,Logistic,0.9753288561208847,0.9284699787949082,0.9625520110957004,0.9315436241610738,0.9467939972714869
naiveB_1900_memoryB_721,LinearSCVI_10,SVM,0.9757836338418862,0.9289685427908019,0.9667128987517337,0.9380888290713324,0.9521857923497267
naiveB_1900_memoryB_721,LinearSCVI_25,Logistic,0.9756135484341923,0.9310872033558528,0.9680998613037448,0.9344042838018741,0.9509536784741144
naiveB_1900_memoryB_721,LinearSCVI_25,SVM,0.9771866559602892,0.9314954223596845,0.9764216366158114,0.9336870026525199,0.9545762711864407
naiveB_1900_memoryB_721,LinearSCVI_50,Logistic,0.9737798379443755,0.9258123911141969,0.9597780859916782,0.9189907038512616,0.9389416553595658
naiveB_1900_memoryB_721,LinearSCVI_50,SVM,0.9753595152930871,0.9271559914098374,0.9694868238557559,0.9246031746031746,0.946513202437373
naiveB_1900_memoryB_721,PCA,Logistic,0.9720118256807065,0.9274075618213082,0.9583911234396671,0.9225634178905207,0.9401360544217686
naiveB_1900_memoryB_721,PCA,Mixscape,0.7473231622746185,0.39139475652979794,1.0,0.5503816793893129,0.7099950763170851
naiveB_1900_memoryB_721,PCA,SVM,0.9733323600262793,0.9280611418346363,0.9611650485436893,0.9302013422818792,0.9454297407912687
naiveB_1900_memoryB_721,SCVI_10,Logistic,0.9673932403825096,0.9038397684704649,0.9653259361997226,0.8992248062015504,0.931103678929766
naiveB_1900_memoryB_721,SCVI_10,SVM,0.9684889407985984,0.9063345512939951,0.9750346740638003,0.9047619047619048,0.9385847797062752
naiveB_1900_memoryB_721,SCVI_25,Logistic,0.9614716402657129,0.8980244796873755,0.9486823855755895,0.9023746701846965,0.9249492900608519
naiveB_1900_memoryB_721,SCVI_25,SVM,0.9620840937294693,0.8947106029733525,0.9514563106796117,0.9074074074074074,0.9289099526066351
naiveB_1900_memoryB_721,SCVI_50,Logistic,0.9697408569968611,0.9175676518105007,0.957004160887656,0.9019607843137255,0.9286675639300135
naiveB_1900_memoryB_721,SCVI_50,SVM,0.9703996642090663,0.918172703311476,0.9625520110957004,0.90956749672346,0.9353099730458221
