Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_100,Naive B/Memory B,NA,NA,sample,,0.0,,
naiveB_1900_memoryB_100,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.6271186440677966,0.7254901960784313,0.3728813559322034,0.6727272727272727
naiveB_1900_memoryB_100,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.6538461538461539,0.6666666666666666,0.34615384615384615,0.6601941747572816
naiveB_1900_memoryB_100,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.717391304347826,0.6470588235294118,0.2826086956521739,0.6804123711340206
naiveB_1900_memoryB_100,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.6511627906976745,0.5490196078431373,0.3488372093023256,0.5957446808510639
naiveB_1900_memoryB_100,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.7096774193548387,0.43137254901960786,0.2903225806451613,0.5365853658536586
naiveB_1900_memoryB_100,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.7368421052631579,0.27450980392156865,0.2631578947368421,0.4
naiveB_1900_memoryB_100,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.7352941176470589,0.49019607843137253,0.2647058823529412,0.588235294117647
naiveB_1900_memoryB_100,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,,0.0,,
naiveB_1900_memoryB_100,Naive B/Memory B,PCA,SVM,PCA_SVM,0.6842105263157895,0.5098039215686274,0.3157894736842105,0.5842696629213484
naiveB_1900_memoryB_100,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.7027027027027027,0.5098039215686274,0.2972972972972973,0.5909090909090909
naiveB_1900_memoryB_100,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.72,0.35294117647058826,0.28,0.4736842105263158
naiveB_1900_memoryB_100,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.9444444444444444,0.3333333333333333,0.05555555555555555,0.49275362318840576
naiveB_1900_memoryB_100,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.7727272727272727,0.3333333333333333,0.22727272727272727,0.4657534246575343
naiveB_1900_memoryB_100,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.8095238095238095,0.3333333333333333,0.19047619047619047,0.4722222222222222
naiveB_1900_memoryB_100,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.7,0.27450980392156865,0.3,0.3943661971830986
