Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_335,LinearSCVI_10,Logistic,0.9704367635506677,0.8499360044372959,0.9432835820895522,0.8165374677002584,0.8753462603878116
naiveB_1900_memoryB_335,LinearSCVI_10,SVM,0.9723896307934015,0.8576158975405498,0.9522388059701492,0.8242894056847545,0.8836565096952909
naiveB_1900_memoryB_335,LinearSCVI_25,Logistic,0.9716512175962294,0.8474322610176022,0.9492537313432836,0.8174807197943444,0.8784530386740331
naiveB_1900_memoryB_335,LinearSCVI_25,SVM,0.9730117831893166,0.8516232883104287,0.9641791044776119,0.8054862842892768,0.8777173913043478
naiveB_1900_memoryB_335,LinearSCVI_50,Logistic,0.9704854673998429,0.8636135468057227,0.9373134328358209,0.7830423940149626,0.8532608695652174
naiveB_1900_memoryB_335,LinearSCVI_50,SVM,0.9728908091123332,0.8647634372210082,0.9462686567164179,0.7846534653465347,0.8579161028416779
naiveB_1900_memoryB_335,PCA,Logistic,0.9669677926158682,0.8659427241094373,0.9343283582089552,0.7924050632911392,0.8575342465753425
naiveB_1900_memoryB_335,PCA,Mixscape,0.6606865671641791,0.18706653393685024,1.0,0.2999104744852283,0.46143250688705234
naiveB_1900_memoryB_335,PCA,SVM,0.9683205027494108,0.8571828518415501,0.9223880597014925,0.8110236220472441,0.8631284916201117
naiveB_1900_memoryB_335,SCVI_10,Logistic,0.9372694422623723,0.7543872420482335,0.9104477611940298,0.7076566125290024,0.7963446475195822
naiveB_1900_memoryB_335,SCVI_10,SVM,0.9396842105263159,0.7600448617500731,0.9134328358208955,0.7251184834123223,0.8084544253632762
naiveB_1900_memoryB_335,SCVI_25,Logistic,0.9603754909662215,0.8086234210863213,0.9462686567164179,0.7075892857142857,0.80970625798212
naiveB_1900_memoryB_335,SCVI_25,SVM,0.9563699921445404,0.7885474742457329,0.9343283582089552,0.6971046770601337,0.798469387755102
naiveB_1900_memoryB_335,SCVI_50,Logistic,0.9459324430479183,0.7953870557032641,0.9194029850746268,0.7096774193548387,0.801040312093628
naiveB_1900_memoryB_335,SCVI_50,SVM,0.9478271798900236,0.7988087206954723,0.9104477611940298,0.7279236276849642,0.8090185676392572
