Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_335,Naive B/Memory B,NA,NA,sample,1.0,0.11363636363636363,0.0,0.20408163265306123
naiveB_1900_memoryB_335,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.8783068783068783,0.9431818181818182,0.12169312169312169,0.9095890410958903
naiveB_1900_memoryB_335,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.8492462311557789,0.9602272727272727,0.1507537688442211,0.9013333333333334
naiveB_1900_memoryB_335,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.8226600985221675,0.9488636363636364,0.17733990147783252,0.8812664907651715
naiveB_1900_memoryB_335,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.8520408163265306,0.9488636363636364,0.14795918367346939,0.8978494623655914
naiveB_1900_memoryB_335,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.8829787234042553,0.9431818181818182,0.11702127659574468,0.9120879120879122
naiveB_1900_memoryB_335,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.8527918781725888,0.9545454545454546,0.14720812182741116,0.9008042895442361
naiveB_1900_memoryB_335,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.8716577540106952,0.9261363636363636,0.12834224598930483,0.8980716253443527
naiveB_1900_memoryB_335,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,1.0,0.11363636363636363,0.0,0.20408163265306123
naiveB_1900_memoryB_335,Naive B/Memory B,PCA,SVM,PCA_SVM,0.8465608465608465,0.9090909090909091,0.15343915343915343,0.8767123287671231
naiveB_1900_memoryB_335,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.8514285714285714,0.8465909090909091,0.14857142857142858,0.849002849002849
naiveB_1900_memoryB_335,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.8415300546448088,0.875,0.15846994535519127,0.8579387186629527
naiveB_1900_memoryB_335,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.861878453038674,0.8863636363636364,0.13812154696132597,0.8739495798319329
naiveB_1900_memoryB_335,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.8700564971751412,0.875,0.12994350282485875,0.8725212464589235
naiveB_1900_memoryB_335,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.8546511627906976,0.8352272727272727,0.14534883720930233,0.8448275862068966
naiveB_1900_memoryB_335,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.8388888888888889,0.8579545454545454,0.16111111111111112,0.848314606741573
