Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_633,Naive B/Memory B,NA,NA,sample,1.0,0.3106060606060606,0.0,0.4739884393063584
naiveB_1900_memoryB_633,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9157509157509157,0.946969696969697,0.08424908424908426,0.931098696461825
naiveB_1900_memoryB_633,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.9213483146067416,0.9318181818181818,0.07865168539325842,0.9265536723163842
naiveB_1900_memoryB_633,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.8989169675090253,0.9431818181818182,0.10108303249097472,0.9205175600739371
naiveB_1900_memoryB_633,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.9227941176470589,0.9507575757575758,0.07720588235294118,0.9365671641791046
naiveB_1900_memoryB_633,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.9455252918287937,0.9204545454545454,0.054474708171206226,0.9328214971209212
naiveB_1900_memoryB_633,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.928030303030303,0.928030303030303,0.07196969696969698,0.928030303030303
naiveB_1900_memoryB_633,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.9056603773584906,0.9090909090909091,0.09433962264150944,0.9073724007561438
naiveB_1900_memoryB_633,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,1.0,0.3106060606060606,0.0,0.4739884393063584
naiveB_1900_memoryB_633,Naive B/Memory B,PCA,SVM,PCA_SVM,0.9077490774907749,0.9318181818181818,0.09225092250922509,0.9196261682242991
naiveB_1900_memoryB_633,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.9,0.9204545454545454,0.1,0.9101123595505618
naiveB_1900_memoryB_633,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.8840579710144928,0.9242424242424242,0.11594202898550725,0.9037037037037037
naiveB_1900_memoryB_633,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.9074074074074074,0.928030303030303,0.09259259259259259,0.9176029962546817
naiveB_1900_memoryB_633,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.9302325581395349,0.9090909090909091,0.06976744186046512,0.9195402298850575
naiveB_1900_memoryB_633,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.8905660377358491,0.8939393939393939,0.10943396226415095,0.8922495274102079
naiveB_1900_memoryB_633,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.9172932330827067,0.9242424242424242,0.08270676691729323,0.920754716981132
