Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_633,LinearSCVI_10,Logistic,0.9705986530306809,0.9095961115023311,0.9557661927330173,0.9166666666666666,0.9358081979891724
naiveB_1900_memoryB_633,LinearSCVI_10,SVM,0.9712380477259499,0.9112141136736452,0.9589257503949447,0.923896499238965,0.9410852713178295
naiveB_1900_memoryB_633,LinearSCVI_25,Logistic,0.9696266733183669,0.9080805285388839,0.95260663507109,0.9054054054054054,0.928406466512702
naiveB_1900_memoryB_633,LinearSCVI_25,SVM,0.9715826889498629,0.911099506450633,0.9541864139020537,0.9055472263868066,0.9292307692307692
naiveB_1900_memoryB_633,LinearSCVI_50,Logistic,0.9693730772428701,0.9119654805256809,0.95260663507109,0.9013452914798207,0.9262672811059908
naiveB_1900_memoryB_633,LinearSCVI_50,SVM,0.9711989689864472,0.9148167473653518,0.9557661927330173,0.9029850746268657,0.9286262471220261
naiveB_1900_memoryB_633,PCA,Logistic,0.9699883595244033,0.9139058560849598,0.9478672985781991,0.8941877794336811,0.9202453987730062
naiveB_1900_memoryB_633,PCA,Mixscape,0.7310343394030099,0.34759712909725815,1.0,0.5,0.6666666666666666
naiveB_1900_memoryB_633,PCA,SVM,0.9721551509104515,0.9145592077203432,0.9494470774091627,0.9106060606060606,0.9296210363495745
naiveB_1900_memoryB_633,SCVI_10,Logistic,0.9534796707408331,0.8580006746691496,0.95260663507109,0.8577524893314367,0.9026946107784432
naiveB_1900_memoryB_633,SCVI_10,SVM,0.95314126548599,0.8555195126286433,0.9510268562401264,0.8637015781922525,0.9052631578947369
naiveB_1900_memoryB_633,SCVI_25,Logistic,0.9577442421218922,0.8807179618646769,0.9462875197472354,0.8719068413391557,0.9075757575757575
naiveB_1900_memoryB_633,SCVI_25,SVM,0.9601829217593748,0.8822098175657509,0.9478672985781991,0.8810572687224669,0.9132420091324202
naiveB_1900_memoryB_633,SCVI_50,Logistic,0.9608397771680385,0.8902620757381288,0.9399684044233807,0.8623188405797102,0.8994708994708995
naiveB_1900_memoryB_633,SCVI_50,SVM,0.9630123887918849,0.8924658315478148,0.9494470774091627,0.8773722627737226,0.911987860394537
