Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_403,Naive B/Memory B,NA,NA,sample,1.0,0.17708333333333334,0.0,0.3008849557522124
naiveB_1900_memoryB_403,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.8465116279069768,0.9479166666666666,0.15348837209302327,0.8943488943488943
naiveB_1900_memoryB_403,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.8371040723981901,0.9635416666666666,0.16289592760180996,0.8958837772397095
naiveB_1900_memoryB_403,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.863849765258216,0.9583333333333334,0.13615023474178403,0.908641975308642
naiveB_1900_memoryB_403,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.8767772511848341,0.9635416666666666,0.12322274881516587,0.9181141439205954
naiveB_1900_memoryB_403,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.8418604651162791,0.9427083333333334,0.15813953488372093,0.8894348894348896
naiveB_1900_memoryB_403,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.8714285714285714,0.953125,0.12857142857142856,0.9104477611940298
naiveB_1900_memoryB_403,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.8185840707964602,0.9635416666666666,0.18141592920353983,0.8851674641148326
naiveB_1900_memoryB_403,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,1.0,0.17708333333333334,0.0,0.3008849557522124
naiveB_1900_memoryB_403,Naive B/Memory B,PCA,SVM,PCA_SVM,0.7965367965367965,0.9583333333333334,0.20346320346320346,0.8699763593380614
naiveB_1900_memoryB_403,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.84688995215311,0.921875,0.15311004784688995,0.8827930174563591
naiveB_1900_memoryB_403,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.8454106280193237,0.9114583333333334,0.15458937198067632,0.8771929824561404
naiveB_1900_memoryB_403,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.8663366336633663,0.9114583333333334,0.13366336633663367,0.8883248730964467
naiveB_1900_memoryB_403,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.8731707317073171,0.9322916666666666,0.12682926829268293,0.9017632241813601
naiveB_1900_memoryB_403,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.8917525773195877,0.9010416666666666,0.10824742268041238,0.8963730569948186
naiveB_1900_memoryB_403,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.875,0.9114583333333334,0.125,0.8928571428571429
