Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_1404,Naive B/Memory B,NA,NA,sample,0.9941690962099126,0.741304347826087,0.0058309037900874635,0.8493150684931506
naiveB_1900_memoryB_1404,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9342915811088296,0.9891304347826086,0.06570841889117043,0.9609292502639915
naiveB_1900_memoryB_1404,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.9338842975206612,0.9826086956521739,0.06611570247933884,0.9576271186440679
naiveB_1900_memoryB_1404,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.9285714285714286,0.9891304347826086,0.07142857142857142,0.9578947368421052
naiveB_1900_memoryB_1404,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.9417879417879418,0.9847826086956522,0.058212058212058215,0.9628055260361318
naiveB_1900_memoryB_1404,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.9300411522633745,0.9826086956521739,0.06995884773662552,0.9556025369978858
naiveB_1900_memoryB_1404,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.9358178053830227,0.9826086956521739,0.06418219461697723,0.9586426299045598
naiveB_1900_memoryB_1404,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.9193548387096774,0.991304347826087,0.08064516129032258,0.9539748953974895
naiveB_1900_memoryB_1404,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,0.9941690962099126,0.741304347826087,0.0058309037900874635,0.8493150684931506
naiveB_1900_memoryB_1404,Naive B/Memory B,PCA,SVM,PCA_SVM,0.916,0.9956521739130435,0.084,0.9541666666666666
naiveB_1900_memoryB_1404,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.9293139293139293,0.9717391304347827,0.07068607068607069,0.9500531349628055
naiveB_1900_memoryB_1404,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.9254658385093167,0.9717391304347827,0.07453416149068323,0.9480381760339341
naiveB_1900_memoryB_1404,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.9273858921161826,0.9717391304347827,0.07261410788381743,0.9490445859872612
naiveB_1900_memoryB_1404,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.9338842975206612,0.9826086956521739,0.06611570247933884,0.9576271186440679
naiveB_1900_memoryB_1404,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.9393305439330544,0.9760869565217392,0.060669456066945605,0.9573560767590619
naiveB_1900_memoryB_1404,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.9417879417879418,0.9847826086956522,0.058212058212058215,0.9628055260361318
