Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_1404,LinearSCVI_10,Logistic,0.9762618083670714,0.962053893121612,0.9636752136752137,0.9847161572052402,0.9740820734341253
naiveB_1900_memoryB_1404,LinearSCVI_10,SVM,0.9761560953666216,0.9619489895830673,0.9615384615384616,0.9832483612527313,0.9722722362261433
naiveB_1900_memoryB_1404,LinearSCVI_25,Logistic,0.9770336632178738,0.9635414944121523,0.9558404558404558,0.9853157121879589,0.970354302241504
naiveB_1900_memoryB_1404,LinearSCVI_25,SVM,0.9769219523166892,0.9634323253363685,0.9622507122507122,0.9839766933721777,0.9729924378826073
naiveB_1900_memoryB_1404,LinearSCVI_50,Logistic,0.9784315489578645,0.9665381470606663,0.9622507122507122,0.9854121079504011,0.9736936936936936
naiveB_1900_memoryB_1404,LinearSCVI_50,SVM,0.9783445793972112,0.9666902852507224,0.9650997150997151,0.9854545454545455,0.975170924793091
naiveB_1900_memoryB_1404,PCA,Logistic,0.9778834907782277,0.9655931534452225,0.9586894586894587,0.9853587115666179,0.9718411552346571
naiveB_1900_memoryB_1404,PCA,Mixscape,0.8910001499475184,0.7215582859414693,1.0,0.8498789346246973,0.918848167539267
naiveB_1900_memoryB_1404,PCA,SVM,0.9775262408157145,0.9640026866199285,0.9608262108262108,0.9839533187454412,0.9722522522522522
naiveB_1900_memoryB_1404,SCVI_10,Logistic,0.9698001949317738,0.9509025349813409,0.9458689458689459,0.9815225424981523,0.9633659775117882
naiveB_1900_memoryB_1404,SCVI_10,SVM,0.969471247563353,0.949791842872859,0.9423076923076923,0.9829123328380386,0.9621818181818182
naiveB_1900_memoryB_1404,SCVI_25,Logistic,0.9719541910331384,0.9560010316261044,0.9544159544159544,0.9816849816849816,0.9678584326471651
naiveB_1900_memoryB_1404,SCVI_25,SVM,0.9717228969860549,0.9552007306152068,0.9565527065527065,0.9810080350620891,0.9686260367832671
naiveB_1900_memoryB_1404,SCVI_50,Logistic,0.9730757984705353,0.9556927974392497,0.9615384615384616,0.9803921568627451,0.970873786407767
naiveB_1900_memoryB_1404,SCVI_50,SVM,0.9730668016194332,0.9554874670884164,0.9601139601139601,0.9803636363636363,0.9701331414177762
