Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_1267,Naive B/Memory B,NA,NA,sample,0.996415770609319,0.6541176470588236,0.0035842293906810036,0.7897727272727273
naiveB_1900_memoryB_1267,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9046563192904656,0.96,0.09534368070953436,0.9315068493150684
naiveB_1900_memoryB_1267,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.9094922737306843,0.9694117647058823,0.09050772626931568,0.9384965831435078
naiveB_1900_memoryB_1267,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.9209932279909706,0.96,0.07900677200902935,0.9400921658986174
naiveB_1900_memoryB_1267,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.9074889867841409,0.9694117647058823,0.09251101321585903,0.937428896473265
naiveB_1900_memoryB_1267,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.9082774049217002,0.9552941176470588,0.09172259507829977,0.9311926605504587
naiveB_1900_memoryB_1267,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.9052863436123348,0.9670588235294117,0.0947136563876652,0.9351535836177475
naiveB_1900_memoryB_1267,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.896328293736501,0.9764705882352941,0.10367170626349892,0.9346846846846847
naiveB_1900_memoryB_1267,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,0.996415770609319,0.6541176470588236,0.0035842293906810036,0.7897727272727273
naiveB_1900_memoryB_1267,Naive B/Memory B,PCA,SVM,PCA_SVM,0.8898488120950324,0.9694117647058823,0.1101511879049676,0.9279279279279279
naiveB_1900_memoryB_1267,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.8917748917748918,0.9694117647058823,0.10822510822510822,0.9289740698985344
naiveB_1900_memoryB_1267,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.8808510638297873,0.9741176470588235,0.11914893617021277,0.9251396648044693
naiveB_1900_memoryB_1267,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.926605504587156,0.9505882352941176,0.07339449541284404,0.9384436701509871
naiveB_1900_memoryB_1267,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.9260969976905312,0.9435294117647058,0.07390300230946882,0.9347319347319347
naiveB_1900_memoryB_1267,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.8925438596491229,0.9576470588235294,0.1074561403508772,0.9239500567536891
naiveB_1900_memoryB_1267,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.8819742489270386,0.9670588235294117,0.11802575107296137,0.9225589225589226
