Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_1267,LinearSCVI_10,Logistic,0.9754035641590164,0.9569906086871655,0.9668508287292817,0.9792166266986411,0.9729944400317713
naiveB_1900_memoryB_1267,LinearSCVI_10,SVM,0.9749835915756242,0.9557873066701499,0.9707971586424625,0.9785202863961814,0.9746434231378763
naiveB_1900_memoryB_1267,LinearSCVI_25,Logistic,0.9752403107215553,0.9570979927079304,0.9613259668508287,0.9798873692679002,0.9705179282868526
naiveB_1900_memoryB_1267,LinearSCVI_25,SVM,0.9752340796743241,0.9571807182618569,0.9644830307813733,0.9776,0.9709972189114024
naiveB_1900_memoryB_1267,LinearSCVI_50,Logistic,0.9763402982594609,0.9613022440248222,0.9621152328334649,0.9822723609991942,0.9720893141945774
naiveB_1900_memoryB_1267,LinearSCVI_50,SVM,0.9760308229136376,0.9595869555361698,0.9676400947119179,0.9784517158818835,0.973015873015873
naiveB_1900_memoryB_1267,PCA,Logistic,0.975334191833174,0.9570467835617964,0.9597474348855565,0.9814366424535916,0.9704708699122107
naiveB_1900_memoryB_1267,PCA,Mixscape,0.8619565488306401,0.6529020210081666,1.0,0.8003790271636134,0.8891228070175439
naiveB_1900_memoryB_1267,PCA,SVM,0.9751688613799692,0.9569822227978033,0.9589581689029203,0.9830097087378641,0.970834998002397
naiveB_1900_memoryB_1267,SCVI_10,Logistic,0.9657790886054917,0.9426291513382213,0.9526440410418311,0.9741727199354318,0.9632881085395051
naiveB_1900_memoryB_1267,SCVI_10,SVM,0.9652232791924562,0.9409318416494986,0.9534333070244673,0.9741935483870968,0.9637016354208218
naiveB_1900_memoryB_1267,SCVI_25,Logistic,0.9677040667968263,0.9476027161985359,0.9550118389897395,0.9703287890938251,0.9626093874303898
naiveB_1900_memoryB_1267,SCVI_25,SVM,0.9680741910023677,0.9469733741185298,0.9558011049723757,0.9711307137129109,0.9634049323786794
naiveB_1900_memoryB_1267,SCVI_50,Logistic,0.9720736925185892,0.9521085136729738,0.9408050513022889,0.9746524938675388,0.957429718875502
naiveB_1900_memoryB_1267,SCVI_50,SVM,0.972048768329664,0.9505517827052228,0.9510655090765588,0.9741309620048505,0.9624600638977636
