Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_211,LinearSCVI_10,Logistic,0.9735370416562734,0.7819723290026467,0.966824644549763,0.68,0.7984344422700588
naiveB_1900_memoryB_211,LinearSCVI_10,SVM,0.9745273135445249,0.7853607141654289,0.9715639810426541,0.6949152542372882,0.8102766798418973
naiveB_1900_memoryB_211,LinearSCVI_25,Logistic,0.9702569219256674,0.7652241574343283,0.957345971563981,0.6292834890965732,0.7593984962406014
naiveB_1900_memoryB_211,LinearSCVI_25,SVM,0.9726016462958343,0.7723616695984392,0.957345971563981,0.643312101910828,0.7695238095238096
naiveB_1900_memoryB_211,LinearSCVI_50,Logistic,0.9599451234721875,0.7318829601214987,0.943127962085308,0.5870206489675516,0.7236363636363637
naiveB_1900_memoryB_211,LinearSCVI_50,SVM,0.9605649787977052,0.7313306500517744,0.9478672985781991,0.5934718100890207,0.7299270072992701
naiveB_1900_memoryB_211,PCA,Logistic,0.9678473434771764,0.7676504946923848,0.943127962085308,0.6862068965517242,0.7944111776447106
naiveB_1900_memoryB_211,PCA,Mixscape,0.6478573210276877,0.1228048809477437,1.0,0.2,0.33333333333333337
naiveB_1900_memoryB_211,PCA,SVM,0.9668770266899477,0.7636026860279415,0.95260663507109,0.7003484320557491,0.8072289156626506
naiveB_1900_memoryB_211,SCVI_10,Logistic,0.9460788226490396,0.6432488523017263,0.943127962085308,0.5037974683544304,0.6567656765676568
naiveB_1900_memoryB_211,SCVI_10,SVM,0.942728860064854,0.6367335535346351,0.9478672985781991,0.4878048780487805,0.6441223832528181
naiveB_1900_memoryB_211,SCVI_25,Logistic,0.9562933399850337,0.7281959968469968,0.95260663507109,0.556786703601108,0.7027972027972027
naiveB_1900_memoryB_211,SCVI_25,SVM,0.9558119231728611,0.7238497829438979,0.9478672985781991,0.554016620498615,0.6993006993006994
naiveB_1900_memoryB_211,SCVI_50,Logistic,0.9323297580444002,0.6388290290211526,0.933649289099526,0.4925,0.6448445171849427
naiveB_1900_memoryB_211,SCVI_50,SVM,0.9126665003741581,0.591642875760268,0.9004739336492891,0.4288939051918736,0.581039755351682
