Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_915,Naive B/Memory B,NA,NA,sample,0.9887005649717514,0.4888268156424581,0.011299435028248588,0.6542056074766356
naiveB_1900_memoryB_915,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9397260273972603,0.9581005586592178,0.06027397260273973,0.9488243430152142
naiveB_1900_memoryB_915,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.945054945054945,0.9608938547486033,0.054945054945054944,0.9529085872576177
naiveB_1900_memoryB_915,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.9553072625698324,0.9553072625698324,0.0446927374301676,0.9553072625698324
naiveB_1900_memoryB_915,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.947945205479452,0.9664804469273743,0.052054794520547946,0.9571230982019363
naiveB_1900_memoryB_915,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.9472222222222222,0.952513966480447,0.05277777777777778,0.9498607242339834
naiveB_1900_memoryB_915,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.9498607242339833,0.952513966480447,0.05013927576601671,0.9511854951185496
naiveB_1900_memoryB_915,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.9467787114845938,0.9441340782122905,0.05322128851540616,0.9454545454545454
naiveB_1900_memoryB_915,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,0.9887005649717514,0.4888268156424581,0.011299435028248588,0.6542056074766356
naiveB_1900_memoryB_915,Naive B/Memory B,PCA,SVM,PCA_SVM,0.9502762430939227,0.9608938547486033,0.049723756906077346,0.9555555555555556
naiveB_1900_memoryB_915,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.9222520107238605,0.9608938547486033,0.0777479892761394,0.9411764705882353
naiveB_1900_memoryB_915,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.9278074866310161,0.9692737430167597,0.07219251336898395,0.948087431693989
naiveB_1900_memoryB_915,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.9416666666666667,0.946927374301676,0.058333333333333334,0.9442896935933148
naiveB_1900_memoryB_915,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.921832884097035,0.9553072625698324,0.07816711590296496,0.9382716049382717
naiveB_1900_memoryB_915,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.9416666666666667,0.946927374301676,0.058333333333333334,0.9442896935933148
naiveB_1900_memoryB_915,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.9264305177111717,0.9497206703910615,0.07356948228882834,0.9379310344827586
