Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_915,LinearSCVI_10,Logistic,0.9768179465056083,0.9431181439402063,0.9748633879781421,0.9479277364505845,0.9612068965517241
naiveB_1900_memoryB_915,LinearSCVI_10,SVM,0.9771469657750935,0.9441339541714693,0.9748633879781421,0.9479277364505845,0.9612068965517241
naiveB_1900_memoryB_915,LinearSCVI_25,Logistic,0.9776554501006615,0.9471110049308308,0.9814207650273225,0.9403141361256544,0.960427807486631
naiveB_1900_memoryB_915,LinearSCVI_25,SVM,0.9778584987057809,0.9485777273154579,0.9781420765027322,0.9430979978925185,0.9603004291845493
naiveB_1900_memoryB_915,LinearSCVI_50,Logistic,0.9758073051481162,0.9417123782792254,0.9704918032786886,0.9436769394261424,0.9568965517241379
naiveB_1900_memoryB_915,LinearSCVI_50,SVM,0.9766655162496404,0.9425833466214797,0.9770491803278688,0.945031712473573,0.9607737775389574
naiveB_1900_memoryB_915,PCA,Logistic,0.9776088582111014,0.9458791784663321,0.9650273224043716,0.9464094319399786,0.9556277056277057
naiveB_1900_memoryB_915,PCA,Mixscape,0.7836416450963474,0.48137997414496936,1.0,0.650319829424307,0.7881136950904392
naiveB_1900_memoryB_915,PCA,SVM,0.977561403508772,0.9442982934025069,0.9693989071038251,0.9476495726495726,0.9584008643976228
naiveB_1900_memoryB_915,SCVI_10,Logistic,0.965871728501582,0.9161875542397803,0.946448087431694,0.9382448537378115,0.9423286180631121
naiveB_1900_memoryB_915,SCVI_10,SVM,0.9657244751222318,0.9156292889131189,0.9475409836065574,0.940347071583514,0.9439303211758301
naiveB_1900_memoryB_915,SCVI_25,Logistic,0.9690859936727062,0.9278928845900307,0.9628415300546448,0.929324894514768,0.9457863660762211
naiveB_1900_memoryB_915,SCVI_25,SVM,0.9697026171987344,0.9280532653910277,0.9650273224043716,0.9284963196635121,0.9464094319399785
naiveB_1900_memoryB_915,SCVI_50,Logistic,0.9738314639056659,0.9413494562171848,0.9639344262295082,0.9333333333333333,0.9483870967741935
naiveB_1900_memoryB_915,SCVI_50,SVM,0.9750112165660052,0.9427895519642113,0.9650273224043716,0.9343915343915344,0.9494623655913978
