Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_552,Naive B/Memory B,NA,NA,sample,1.0,0.26848249027237353,0.0,0.4233128834355828
naiveB_1900_memoryB_552,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9210526315789473,0.953307392996109,0.07894736842105263,0.9369024856596557
naiveB_1900_memoryB_552,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.9310344827586207,0.9455252918287937,0.06896551724137931,0.9382239382239381
naiveB_1900_memoryB_552,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.9377431906614786,0.9377431906614786,0.0622568093385214,0.9377431906614786
naiveB_1900_memoryB_552,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.933852140077821,0.933852140077821,0.06614785992217899,0.933852140077821
naiveB_1900_memoryB_552,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.9365079365079365,0.9182879377431906,0.06349206349206349,0.9273084479371315
naiveB_1900_memoryB_552,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.9132075471698113,0.9416342412451362,0.08679245283018867,0.9272030651340996
naiveB_1900_memoryB_552,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.9446640316205533,0.9299610894941635,0.05533596837944664,0.9372549019607842
naiveB_1900_memoryB_552,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,1.0,0.26848249027237353,0.0,0.4233128834355828
naiveB_1900_memoryB_552,Naive B/Memory B,PCA,SVM,PCA_SVM,0.9307692307692308,0.9416342412451362,0.06923076923076923,0.9361702127659575
naiveB_1900_memoryB_552,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.9147286821705426,0.9182879377431906,0.08527131782945736,0.9165048543689319
naiveB_1900_memoryB_552,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.915057915057915,0.9221789883268483,0.08494208494208494,0.9186046511627907
naiveB_1900_memoryB_552,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.9380165289256198,0.8832684824902723,0.06198347107438017,0.909819639278557
naiveB_1900_memoryB_552,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.936,0.9105058365758755,0.064,0.923076923076923
naiveB_1900_memoryB_552,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.9274193548387096,0.8949416342412452,0.07258064516129033,0.9108910891089109
naiveB_1900_memoryB_552,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.914396887159533,0.914396887159533,0.08560311284046693,0.914396887159533
