Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_552,LinearSCVI_10,Logistic,0.9785230739893211,0.9073309705618213,0.9692028985507246,0.9083191850594228,0.9377738825591586
naiveB_1900_memoryB_552,LinearSCVI_10,SVM,0.9795208810068651,0.9103150665430999,0.9782608695652174,0.903010033444816,0.9391304347826087
naiveB_1900_memoryB_552,LinearSCVI_25,Logistic,0.9775848588863463,0.9011571009978154,0.9728260869565217,0.8876033057851239,0.9282627484874676
naiveB_1900_memoryB_552,LinearSCVI_25,SVM,0.9799332570556826,0.9076565650127939,0.9782608695652174,0.8970099667774086,0.9358752166377816
naiveB_1900_memoryB_552,LinearSCVI_50,Logistic,0.9783361937452326,0.9130197223359527,0.9619565217391305,0.8791390728476821,0.9186851211072664
naiveB_1900_memoryB_552,LinearSCVI_50,SVM,0.9793821510297482,0.9111376238140104,0.9746376811594203,0.886326194398682,0.9283865401207937
naiveB_1900_memoryB_552,PCA,Logistic,0.9791618993135012,0.9157564315265769,0.9601449275362319,0.9013605442176871,0.9298245614035088
naiveB_1900_memoryB_552,PCA,Mixscape,0.7115350877192982,0.3025981781657378,1.0,0.45024469820554647,0.6209223847019123
naiveB_1900_memoryB_552,PCA,SVM,0.9801139397406559,0.9160681300723167,0.9710144927536232,0.9038785834738617,0.9362445414847161
naiveB_1900_memoryB_552,SCVI_10,Logistic,0.9611823035850497,0.8552495957905701,0.9601449275362319,0.8562197092084006,0.9052092228864218
naiveB_1900_memoryB_552,SCVI_10,SVM,0.9611622807017545,0.851072172157912,0.9565217391304348,0.8557536466774717,0.9033361847733106
naiveB_1900_memoryB_552,SCVI_25,Logistic,0.9710106788710908,0.876593964793021,0.9764492753623188,0.8330757341576507,0.8990825688073395
naiveB_1900_memoryB_552,SCVI_25,SVM,0.9724818840579711,0.8794192141347212,0.9818840579710145,0.8455538221528861,0.9086336965632859
naiveB_1900_memoryB_552,SCVI_50,Logistic,0.968996948893974,0.8792836062985631,0.9583333333333334,0.8410174880763116,0.8958509737510584
naiveB_1900_memoryB_552,SCVI_50,SVM,0.9718802440884821,0.8862868785328113,0.9637681159420289,0.8553054662379421,0.9063032367972743
