Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_271,LinearSCVI_10,Logistic,0.9772188774519324,0.8450966151054685,0.966789667896679,0.7797619047619048,0.8632619439868204
naiveB_1900_memoryB_271,LinearSCVI_10,SVM,0.9801068168576422,0.853365654345879,0.974169741697417,0.7904191616766467,0.8727272727272727
naiveB_1900_memoryB_271,LinearSCVI_25,Logistic,0.9755836084676635,0.8373718536960815,0.955719557195572,0.7708333333333334,0.8533772652388798
naiveB_1900_memoryB_271,LinearSCVI_25,SVM,0.9794950475820546,0.8521365167160901,0.9704797047970479,0.7735294117647059,0.8608837970540099
naiveB_1900_memoryB_271,LinearSCVI_50,Logistic,0.9713439502816081,0.8279255243117932,0.955719557195572,0.7,0.8081123244929799
naiveB_1900_memoryB_271,LinearSCVI_50,SVM,0.9723616236162362,0.8265426545097793,0.955719557195572,0.7095890410958904,0.8144654088050315
naiveB_1900_memoryB_271,PCA,Logistic,0.9747970479704797,0.8419786107807541,0.966789667896679,0.7359550561797753,0.8357256778309409
naiveB_1900_memoryB_271,PCA,Mixscape,0.6363604583414255,0.14954679809500804,1.0,0.24976958525345622,0.3997050147492625
naiveB_1900_memoryB_271,PCA,SVM,0.975575839968926,0.8402605707973322,0.959409594095941,0.7536231884057971,0.8441558441558441
naiveB_1900_memoryB_271,SCVI_10,Logistic,0.9609885414643621,0.7458843695368201,0.9704797047970479,0.6608040201005025,0.7862481315396114
naiveB_1900_memoryB_271,SCVI_10,SVM,0.9616003107399494,0.7449877207473281,0.966789667896679,0.6770025839793282,0.7963525835866263
naiveB_1900_memoryB_271,SCVI_25,Logistic,0.9617673334628083,0.748890032208761,0.977859778597786,0.6134259259259259,0.7539118065433855
naiveB_1900_memoryB_271,SCVI_25,SVM,0.9575199067780151,0.7323893398691251,0.966789667896679,0.5927601809954751,0.7349228611500702
naiveB_1900_memoryB_271,SCVI_50,Logistic,0.9627966595455428,0.786938654218824,0.966789667896679,0.6223277909738717,0.7572254335260115
naiveB_1900_memoryB_271,SCVI_50,SVM,0.960633132647116,0.7728329091582528,0.9520295202952029,0.6401985111662531,0.7655786350148368
