,0
0,DMRTA2
1,FTH1
2,DLK1
3,TLE4
4,RPS8
5,ZFHX3
6,LMO3
7,RPL13
8,EEF1A1
9,RPS12
10,TPT1
11,RPL5
12,ZFHX4
13,SOX2-OT
14,RPL10
15,NEDD4L
16,LINC00461
17,RPS3A
18,PTPRO
19,IGFBP2
20,TOMM7
21,LRRC4C
22,ANKRD12
23,ACTG1
24,RPS19
25,RPS27A
26,RPL11
27,RPS13
28,PLXDC2
29,SPOCK1
30,RPL9
31,CKB
32,CXXC4
33,FAT3
34,RPL10A
35,RPL34
36,PCSK2
37,SLITRK6
38,RPL37A
39,VKORC1
40,EIF3F
41,CHL1
42,PFN2
43,DDX5
44,ADCYAP1
45,DYNC1I1
46,EEF1G
47,RPL15
48,RPS14
49,ATP5F1E
50,RPL7
