,0
0,DMRTA2
1,LMO3
2,ZFHX3
3,TLE4
4,APP
5,RND3
6,DLK1
7,RPL5
8,RPL13
9,RPL11
10,EEF1A1
11,RPS11
12,RPL13A
13,RPS13
14,FTH1
15,RPL34
16,RPS8
17,RPL37A
18,RPS27A
19,PLXDC2
20,RPL10
21,RPS14
22,PTPRO
23,RPS23
24,RPL22
25,RPL21
26,RPS4X
27,RPS3A
28,RPS12
29,RPLP2
30,RPL18A
31,RPL9
32,RPL3
33,RPL27A
34,RPL6
35,RPS15A
36,RPS27
37,RPL7
38,NOVA1
39,TRIM9
40,RPL28
41,TH
42,RPL18
43,PPP1R14B
44,TUBB
45,MIR99AHG
46,HMGN1
47,RPL32
48,ADCYAP1
49,RPL38
50,RPL37
51,RPL7A
52,NACA
53,RACK1
54,RPL15
55,RPS19
56,RPL36
57,EEF1G
58,IGFBP2
59,RPS16
60,RPL35A
61,RPL39
62,RPS24
63,RPL30
64,TPT1
65,REEP1
66,RPS18
67,ALCAM
68,HNRNPC
69,RPL4
70,RPS29
71,RPLP0
72,NR2F2
73,FAT3
74,DCC
75,RPS28
76,RPL23
77,AL049637.2
78,RPS6
79,RPL26
80,ZNF503
81,SOX2
82,RPL31
83,RPS17
84,NCALD
85,RPS5
86,NREP
87,NR4A2
88,TOMM7
89,LRRC4C
90,LINC00461
91,TUBA1B
92,SOX2-OT
93,RPL17
94,PCSK2
95,CIRBP
96,SPOCK1
97,DAAM1
98,ATP5F1E
99,RPSA
100,TUBB3
101,SLC39A10
102,RPS9
103,ACTG1
104,MINDY2
105,CXXC4
106,TUBB2B
107,ZFHX4
108,IGFBP5
109,SLITRK6
110,CADM1
111,HES6
112,RPS15
113,ROBO1
114,SNHG29
115,RPS21
116,CHD4
117,PKIB
118,RPL19
119,STMN1
120,RPL8
121,SLIT2
122,FTL
123,RMST
124,PLEKHA5
125,QDPR
126,SOX11
127,PON2
128,FUT8
129,FXR1
130,RPL14
131,FNBP1L
132,TPBG
133,EIF3L
134,POU3F2
135,TUBA1A
136,RPL36A
137,SUMO2
138,WASF3
139,PCDH17
140,COX7C
141,NKAIN2
142,PIK3R1
143,GULP1
144,SVBP
