,0
0,DMRTA2
1,LMO3
2,ZFHX3
3,TLE4
4,DLK1
5,FTH1
6,RPS8
7,RPL13
8,EEF1A1
9,RPL5
10,APP
11,RPL11
12,PTPRO
13,RPS13
14,PLXDC2
15,RND3
16,RPL10
17,RPS12
18,RPL34
19,RPS27A
20,RPL37A
21,RPL13A
22,RPS11
23,RPS3A
24,RPS14
25,RPL9
26,RPL22
27,RPS4X
28,RPS23
29,TPT1
30,RPL18A
31,RPS15A
32,RPL21
33,RPL7
34,RPS27
35,RPL27A
36,IGFBP2
37,ADCYAP1
38,NOVA1
39,RPS19
40,RPL3
41,RPL6
42,RPL32
43,RPL18
44,EEF1G
45,RPL15
46,RPL28
47,NACA
48,RPL37
49,HMGN1
50,TH
51,MIR99AHG
52,RPL36
53,RPS16
54,RPL38
55,RPS24
56,RPLP2
57,FAT3
58,LINC00461
59,PPP1R14B
60,SOX2-OT
61,TRIM9
62,TOMM7
63,ZFHX4
64,LRRC4C
65,REEP1
66,RPL39
67,RPS18
68,HNRNPC
69,DCC
70,SPOCK1
71,RPL7A
72,RPL35A
73,PCSK2
74,RPL23
75,ACTG1
76,CXXC4
77,RPS6
78,SLITRK6
79,ATP5F1E
80,RPLP0
81,RACK1
82,NR2F2
83,ALCAM
84,RPS28
85,RPS29
86,RPS17
87,NCALD
88,RPS9
89,RPL30
90,SLC39A10
91,ZNF503
92,RPL26
93,RPL4
94,TUBB
95,NR4A2
96,CHD4
97,PKIB
98,RPL31
99,TUBA1B
100,SOX11
101,NEDD4L
102,PIK3R1
103,EIF3L
104,SOX2
105,RPL17
106,DDX5
107,NREP
108,VKORC1
109,RPL29
110,ANKRD12
111,NTM
112,HES6
113,RPS5
114,PCDH17
115,WASF3
116,CKB
117,TPBG
118,YBX1
119,NUCKS1
120,RPL36A
121,AL049637.2
122,TAGLN2
123,GULP1
124,CIRBP
125,IGFBP5
126,TUBB3
127,MTPN
128,MINDY2
129,CHL1
130,RPS15
131,RPL19
132,CHN2
133,DAAM1
134,CADM1
135,CHD7
136,SLIT2
137,AP000894.2
138,EIF3E
139,COX7C
140,QDPR
141,FUT8
142,LBH
143,ROBO1
144,CELF4
145,PAWR
146,GNAI2
147,STARD4-AS1
148,RPS21
149,DDX46
150,FXR1
151,CUX1
152,DCBLD2
153,RPL10A
154,PON2
155,STMN1
156,CAMK2N1
157,PDZRN4
158,SEZ6L
159,SNHG29
160,RMST
161,NECAB1
162,RPL14
163,SKA2
164,RPSA
165,PFDN5
166,TMA7
167,CTCF
168,SLC2A13
169,FTL
170,PABPC1
171,C21orf62
172,PFN2
173,OTX2
174,OBI1
175,DIPK2A
176,RPL8
177,EPHA4
178,RPL41
179,NTN1
180,EIF3F
181,RTF1
182,RPS7
183,HMGN2
184,RPL23A
185,POU3F2
186,RPS10
187,PTTG1IP
188,FAM110B
189,ZNF292
190,SSH2
191,PITX2
192,HS3ST5
193,POSTN
194,GDAP1L1
195,SVBP
196,FNBP1L
197,PBX1
198,TCF12
199,TMEM163
200,RPS25
201,PLS3
202,NPAS3
