Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_475,LinearSCVI_10,Logistic,0.9733252077562328,0.8854125817946379,0.9473684210526315,0.8604206500956023,0.9018036072144289
naiveB_1900_memoryB_475,LinearSCVI_10,SVM,0.9755855955678671,0.8894138056131942,0.9663157894736842,0.8709677419354839,0.9161676646706588
naiveB_1900_memoryB_475,LinearSCVI_25,Logistic,0.9707069252077563,0.8743618320581495,0.9368421052631579,0.8574181117533719,0.8953722334004025
naiveB_1900_memoryB_475,LinearSCVI_25,SVM,0.9740864265927978,0.8767099896298534,0.9578947368421052,0.8650190114068441,0.9090909090909091
naiveB_1900_memoryB_475,LinearSCVI_50,Logistic,0.9665972299168974,0.8646039828150459,0.9389473684210526,0.8383458646616542,0.8857994041708045
naiveB_1900_memoryB_475,LinearSCVI_50,SVM,0.9694626038781163,0.8688958821581922,0.9452631578947368,0.858508604206501,0.8997995991983967
naiveB_1900_memoryB_475,PCA,Logistic,0.9719246537396122,0.8850296114820385,0.9431578947368421,0.8598848368522073,0.8995983935742972
naiveB_1900_memoryB_475,PCA,Mixscape,0.6965019390581717,0.26426819727093503,1.0,0.4001684919966302,0.5716004813477737
naiveB_1900_memoryB_475,PCA,SVM,0.9735263157894737,0.8839109032417776,0.9494736842105264,0.8723404255319149,0.9092741935483871
naiveB_1900_memoryB_475,SCVI_10,Logistic,0.9531457063711912,0.8197380531052625,0.9410526315789474,0.8186813186813187,0.8756121449559255
naiveB_1900_memoryB_475,SCVI_10,SVM,0.9543434903047092,0.8248817152072896,0.9389473684210526,0.8153564899451554,0.8727984344422701
naiveB_1900_memoryB_475,SCVI_25,Logistic,0.9566936288088642,0.8354814404019315,0.9578947368421052,0.78719723183391,0.8641975308641975
naiveB_1900_memoryB_475,SCVI_25,SVM,0.9596443213296401,0.8431576176753395,0.9557894736842105,0.7964912280701755,0.8688995215311005
naiveB_1900_memoryB_475,SCVI_50,Logistic,0.9604875346260389,0.8379680180274421,0.9536842105263158,0.8031914893617021,0.8719923002887392
naiveB_1900_memoryB_475,SCVI_50,SVM,0.9613551246537397,0.8315534233235172,0.9515789473684211,0.8233151183970856,0.8828125000000001
