Dataset,True labels,DimReduction,PredictionMethod,Approach,Precision,Recall,FDR,F1
naiveB_1900_memoryB_1023,Naive B/Memory B,NA,NA,sample,0.9955555555555555,0.6120218579234973,0.0044444444444444444,0.7580372250423012
naiveB_1900_memoryB_1023,Naive B/Memory B,LinearSCVI_10,Logistic,LinearSCVI_10_Logistic,0.9107142857142857,0.9754098360655737,0.08928571428571429,0.941952506596306
naiveB_1900_memoryB_1023,Naive B/Memory B,LinearSCVI_10,SVM,LinearSCVI_10_SVM,0.9201030927835051,0.9754098360655737,0.07989690721649484,0.946949602122016
naiveB_1900_memoryB_1023,Naive B/Memory B,LinearSCVI_25,Logistic,LinearSCVI_25_Logistic,0.9348958333333334,0.9808743169398907,0.06510416666666667,0.9573333333333333
naiveB_1900_memoryB_1023,Naive B/Memory B,LinearSCVI_25,SVM,LinearSCVI_25_SVM,0.9250645994832042,0.9781420765027322,0.07493540051679587,0.9508632138114209
naiveB_1900_memoryB_1023,Naive B/Memory B,LinearSCVI_50,Logistic,LinearSCVI_50_Logistic,0.9312169312169312,0.9617486338797814,0.06878306878306878,0.9462365591397849
naiveB_1900_memoryB_1023,Naive B/Memory B,LinearSCVI_50,SVM,LinearSCVI_50_SVM,0.9166666666666666,0.9617486338797814,0.08333333333333333,0.9386666666666665
naiveB_1900_memoryB_1023,Naive B/Memory B,PCA,Logistic,PCA_Logistic,0.9145077720207254,0.9644808743169399,0.08549222797927461,0.9388297872340426
naiveB_1900_memoryB_1023,Naive B/Memory B,PCA,Mixscape,PCA_Mixscape,0.9955555555555555,0.6120218579234973,0.0044444444444444444,0.7580372250423012
naiveB_1900_memoryB_1023,Naive B/Memory B,PCA,SVM,PCA_SVM,0.9242819843342036,0.9672131147540983,0.07571801566579635,0.945260347129506
naiveB_1900_memoryB_1023,Naive B/Memory B,SCVI_10,Logistic,SCVI_10_Logistic,0.8930348258706468,0.9808743169398907,0.10696517412935323,0.9348958333333333
naiveB_1900_memoryB_1023,Naive B/Memory B,SCVI_10,SVM,SCVI_10_SVM,0.9033078880407125,0.9699453551912568,0.09669211195928754,0.9354413702239789
naiveB_1900_memoryB_1023,Naive B/Memory B,SCVI_25,Logistic,SCVI_25_Logistic,0.9072164948453608,0.9617486338797814,0.09278350515463918,0.9336870026525198
naiveB_1900_memoryB_1023,Naive B/Memory B,SCVI_25,SVM,SCVI_25_SVM,0.9043927648578811,0.9562841530054644,0.09560723514211886,0.9296148738379814
naiveB_1900_memoryB_1023,Naive B/Memory B,SCVI_50,Logistic,SCVI_50_Logistic,0.9388297872340425,0.9644808743169399,0.061170212765957445,0.9514824797843666
naiveB_1900_memoryB_1023,Naive B/Memory B,SCVI_50,SVM,SCVI_50_SVM,0.9095607235142119,0.9617486338797814,0.09043927648578812,0.9349269588313414
