Dataset,DimReduction,PredictionMethod,AUCROC,AP,Recall,Precision,F1
naiveB_1900_memoryB_1023,LinearSCVI_10,Logistic,0.9735190615835777,0.9456035378141574,0.9696969696969697,0.9520153550863724,0.960774818401937
naiveB_1900_memoryB_1023,LinearSCVI_10,SVM,0.9737243401759532,0.9459181223150934,0.9696969696969697,0.9529298751200769,0.9612403100775194
naiveB_1900_memoryB_1023,LinearSCVI_25,Logistic,0.973822091886608,0.9466000298249243,0.9638318670576735,0.9582118561710399,0.9610136452241715
naiveB_1900_memoryB_1023,LinearSCVI_25,SVM,0.9742058959716006,0.9475071904650015,0.9657869012707723,0.9564375605033882,0.961089494163424
naiveB_1900_memoryB_1023,LinearSCVI_50,Logistic,0.973449606420744,0.9469199811422598,0.9667644183773216,0.9555555555555556,0.9611273080660836
naiveB_1900_memoryB_1023,LinearSCVI_50,SVM,0.9736260739826106,0.9477373278772617,0.9687194525904204,0.9547206165703276,0.9616690926734595
naiveB_1900_memoryB_1023,PCA,Logistic,0.9739759222102174,0.9476488998898817,0.9618768328445748,0.9498069498069498,0.9558037882467217
naiveB_1900_memoryB_1023,PCA,Mixscape,0.8114359211812522,0.5389049417429336,1.0,0.7002053388090349,0.8236714975845411
naiveB_1900_memoryB_1023,PCA,SVM,0.9743864793949684,0.9474668543890431,0.9667644183773216,0.9500480307396734,0.9583333333333334
naiveB_1900_memoryB_1023,SCVI_10,Logistic,0.9595837835056851,0.9136740869154502,0.9472140762463344,0.9453658536585365,0.9462890625
naiveB_1900_memoryB_1023,SCVI_10,SVM,0.9595806966095592,0.9120315440639508,0.9472140762463344,0.9462890625,0.9467513434294089
naiveB_1900_memoryB_1023,SCVI_25,Logistic,0.966357977054072,0.9308934446762678,0.9628543499511242,0.9443911792905082,0.9535333978702808
naiveB_1900_memoryB_1023,SCVI_25,SVM,0.9665303287544375,0.9302274305381283,0.9648093841642229,0.9391056137012369,0.9517839922854386
naiveB_1900_memoryB_1023,SCVI_50,Logistic,0.9671420486700624,0.9336664449694236,0.9403714565004888,0.9468503937007874,0.9435998038254045
naiveB_1900_memoryB_1023,SCVI_50,SVM,0.9681087616401708,0.9336443308674341,0.9481915933528837,0.9463414634146341,0.947265625
