,p_hat
0,0.08881864043429845
1,0.3485984140640654
2,0.09235429014550889
3,0.11820024921859908
4,0.4290307095061031
5,0.2682721200558276
6,0.9049206603877475
7,0.2911677177802922
8,0.1479400445840404
9,0.3697807836797046
10,0.43678015956221383
11,0.4002021694194918
12,0.177250596477286
13,0.331698997076556
14,0.19832206856703444
15,0.6070688610021175
16,0.12112352684860053
17,0.24451110322194744
18,0.17122400259110382
19,0.3484806315518751
20,0.2104459843088274
21,0.6928077502403156
22,0.330500139651401
23,0.3605296018808504
24,0.1147853284179188
25,0.6195782116591105
26,0.29754129792916556
27,0.22600423443962314
28,0.9149691665805569
29,0.2778600930968152
30,0.22412183521366746
31,0.24026483247094813
32,0.35265521134311195
33,0.7662387144020807
34,0.18581657427233975
35,0.5490726832023176
36,0.3000104314480163
37,0.23156439894733874
38,0.24699224578589213
39,0.210889076558912
40,0.18907590726742388
41,0.2412853330803515
42,0.17175705201759905
43,0.2352037838274208
44,0.6419095080900693
45,0.5395623657973323
46,0.246346927353664
47,0.22172616173646065
48,0.2394512518758657
49,0.3289067011230689
50,0.3689413446462577
51,0.40115169292877867
52,0.2255286585088658
53,0.13585502349049527
54,0.10378359856451029
55,0.18241046865651117
56,0.22737252760172424
57,0.4744622032363925
58,0.7442463529988241
59,0.34899545277183924
60,0.3871945447453198
61,0.7232236678209437
62,0.11094080618003356
63,0.3436674599526997
64,0.26058343697964587
65,0.20763884926417564
66,0.12119426822773903
67,0.1804986412512371
68,0.4055090314316544
69,0.04783728374695368
70,0.20064335006679146
71,0.5620587518902667
72,0.38519952987059236
73,0.14025278802560495
74,0.1056462707373184
75,0.06320514877190274
76,0.10389648243538668
77,0.4973971647210619
78,0.17063586034338188
79,0.08933586125198317
80,0.15561131363934894
81,0.4324811069965753
82,0.819624305462589
83,0.3098045703513242
84,0.837962848860972
85,0.3459287720577439
86,0.25239771373273123
87,0.2000337000507072
88,0.3866476089619746
89,0.322482705962141
90,0.3013242555256018
91,0.2368446287813514
92,0.24417616527641553
93,0.08842900190280392
94,0.28664604588456843
