,p_hat
0,0.49957130903010344
1,0.40940440503217995
2,0.30001860790600043
3,0.4269682227298425
4,0.5291279059283501
5,0.527597918476517
6,0.784204139049397
7,0.46527667378208865
8,0.44500899593306886
9,0.6610590342672131
10,0.5705619303879557
11,0.2763446836430491
12,0.43994210544234846
13,0.48414345002962716
14,0.37266519147062505
15,0.6408001084249907
16,0.5404863849394062
17,0.35318481655056344
18,0.39364423987076946
19,0.49293423217794957
20,0.444414348168768
21,0.6157402199004158
22,0.47167796103437
23,0.5107209093736367
24,0.4176932525009039
25,0.4779199572898921
26,0.43939891601384257
27,0.4088343896239954
28,0.7471643540855052
29,0.526872507083723
30,0.5002388873173256
31,0.4701795167891114
32,0.44254031179734743
33,0.798879652066708
34,0.4716555448977345
35,0.753467676751639
36,0.4317278026727569
37,0.43517819269149755
38,0.415773945983999
39,0.3742549615943236
40,0.37071476864269937
41,0.4089889563509035
42,0.4178141543920928
43,0.42216898194113367
44,0.6190666930146738
45,0.5792227081838036
46,0.41969963727380105
47,0.39381475262233284
48,0.30147782523064137
49,0.40830800487426766
50,0.4209389204198441
51,0.6086633140400497
52,0.43912887744668055
53,0.3591327881474707
54,0.36613669666728194
55,0.4617420232767412
56,0.4252061727107805
57,0.6566192116460509
58,0.6674363447604617
59,0.4587635993511546
60,0.49589814119908876
61,0.7613211852415018
62,0.30576272019313677
63,0.4929807711801906
64,0.3292439884582691
65,0.5267277435700848
66,0.3795933851412398
67,0.31737280343646906
68,0.5870992038568086
69,0.27704336850995676
70,0.3579013325518372
71,0.6024668473404782
72,0.46312132067950756
73,0.45482586705869166
74,0.42800241225069197
75,0.28734433982406343
76,0.3841842313507213
77,0.4480541935646255
78,0.35449211957277826
79,0.3498576444794177
80,0.4398411875021974
81,0.5556311555666451
82,0.7309137834774669
83,0.44404292748847496
84,0.7439394773458797
85,0.5427371283734908
86,0.4748255754627045
87,0.35276299571122793
88,0.6065189453169805
89,0.5079248194635333
90,0.4921755388036015
91,0.29039699649436024
92,0.4961412767174743
93,0.23694925547083326
94,0.4242894475273622
95,0.6248544128486675
96,0.3713648205856875
97,0.3990122199228404
98,0.6268494545576118
99,0.5359789443660631
100,0.5238176562791088
101,0.5777236972664159
102,0.17370386297480636
103,0.6643084862523903
104,0.40289326188287905
105,0.5397259446539237
106,0.4890519050183256
107,0.37926226081670306
108,0.5523288930753445
109,0.5428104555105949
110,0.4346641638752653
111,0.44335563019771856
112,0.4158479045220676
113,0.5712640514256192
114,0.29045538181791114
115,0.5192160838632678
116,0.4353314622444035
117,0.8594512829666376
118,0.3031229929264692
119,0.3981444686024941
120,0.524024103025439
121,0.43427450169982657
122,0.45988964669265947
123,0.36872866334003657
124,0.4395286241013964
125,0.5582039581624252
126,0.475529988282782
127,0.46199563350254097
128,0.38589843731579576
129,0.46463891670023266
130,0.4732119985507216
131,0.44316264364936764
132,0.41618314597402845
133,0.4757262135902267
134,0.39938429062134634
135,0.4330406820122354
136,0.46169581959398154
137,0.3289633123649709
138,0.48022844886858673
139,0.3168951285171533
140,0.4083499220417
141,0.48798566545417565
142,0.5030124195984653
143,0.49762809290223153
144,0.3889376883467937
145,0.3534232120186513
146,0.39628485445729006
147,0.46382183934925025
148,0.6236373317476026
149,0.37436911100748016
150,0.2517516985629363
151,0.34988167398343817
152,0.4464095673400301
153,0.37554394245448214
154,0.5258110251473729
155,0.4092069352257607
156,0.486728268326676
157,0.5465484359590169
158,0.5026252856005128
159,0.46029824325467195
160,0.3890270405252854
161,0.5456616158724941
162,0.4237817405340555
163,0.6017836204250318
164,0.37718543048186587
165,0.4882155927213117
166,0.38576947485467067
167,0.41982216282612983
168,0.2731334455781667
169,0.5300050801830495
170,0.3475243644217957
171,0.528054498743617
172,0.4106097286949843
173,0.6159219240898491
174,0.5163578632596902
175,0.4563287056242097
176,0.426725821591685
177,0.40126556755934617
178,0.2864589719712532
179,0.40902511987833706
180,0.4621081262653536
181,0.5209867883984579
182,0.5926161894976127
183,0.5525903225516126
184,0.40176539398354105
185,0.43981554922000077
186,0.40523461943025846
187,0.4949373767551177
188,0.44438045683302074
189,0.5554682302358507
190,0.4636712175316157
191,0.4671591163093862
192,0.4576272013428155
193,0.4507580722281005
194,0.40206178818765975
195,0.4040439237487836
196,0.5605862531228096
197,0.4183539049980502
198,0.5062554588264364
199,0.46387691431095673
200,0.40683419853353214
201,0.5422048919825913
202,0.46935036623279863
203,0.5663353581862236
204,0.7342638401685365
205,0.4532441301528243
206,0.30330807008684274
207,0.3240223352010933
208,0.5001513628250281
209,0.39034172203854767
210,0.5738903429342108
211,0.4042764101521224
212,0.41951195804913766
213,0.5251164791016973
214,0.45964921142839105
215,0.29088157797029146
216,0.3592851706024619
217,0.7194357095281593
218,0.2258851396301564
219,0.3853001618629033
220,0.3722965641041487
221,0.4424883133517456
222,0.6323008785317451
223,0.5892414332107887
224,0.46699396303771146
225,0.3677594112359731
226,0.32453754093226833
227,0.29821226473672924
228,0.49076395220301183
229,0.5572968579362414
230,0.3313258482413245
231,0.4514300092243618
232,0.3899592204638504
233,0.4566654531341573
234,0.39067413450057725
235,0.5360016658838062
236,0.4650135840245412
237,0.37880462282751665
238,0.5072556043584658
239,0.45490418720995135
240,0.4312738771208385
241,0.3964987031300099
242,0.6781600368146637
243,0.46722988015010564
244,0.39246655124175434
245,0.40161071588553365
246,0.4196176039532309
247,0.4879650152273047
248,0.26841736525155835
249,0.2734617748371849
250,0.42997965173880126
251,0.4765736467062853
252,0.5727269703453597
253,0.4643414384294491
254,0.4970732618778623
255,0.45169811555228484
256,0.41804449666395554
257,0.5421463077695193
258,0.7232162933634272
259,0.47731770081724567
260,0.4561081734909402
261,0.48704857931021667
262,0.34292774412221094
263,0.594471464342617
264,0.4426923908188638
265,0.47883746930790705
266,0.5273403816132692
267,0.682713094482111
268,0.38775227822974667
269,0.2470710966473151
270,0.5711888829965079
271,0.3808943146452124
272,0.48234921007341436
273,0.590519483657262
274,0.35330079969499656
275,0.35104465246724803
276,0.5891424905587033
277,0.4903325894072723
278,0.8386457293690772
279,0.30855732099569405
280,0.46793637197460874
281,0.4714611325675305
282,0.5371878739504837
283,0.4212291907764466
284,0.553450810305687
285,0.5458422815577643
286,0.22225027340415915
287,0.47304851007015636
288,0.7849952726266405
289,0.47979614142817495
290,0.4788386372364936
291,0.43673186396461544
292,0.5380538393596367
293,0.4794705302036738
294,0.5616711559302642
295,0.4526891941209422
296,0.47386459155680904
297,0.6797798415256976
298,0.38919223865017805
299,0.39738147275658386
