,p_hat
0,0.2213512526168858
1,0.4244816984588711
2,0.22976787230735723
3,0.32247681217849505
4,0.5265232954528457
5,0.47305612838007877
6,0.7835599496964596
7,0.46493208699394556
8,0.2652572810023563
9,0.5674266452721783
10,0.5635118724898123
11,0.36140205010645227
12,0.34691171114839275
13,0.46336149276244687
14,0.36212641789750916
15,0.5423739520339035
16,0.36184959957145735
17,0.3390219219380694
18,0.34865623400234996
19,0.38761918327154454
20,0.4261184381753753
21,0.613768451111174
22,0.48598980692448457
23,0.4797701503330306
24,0.3252990071489051
25,0.5506499688623301
26,0.38265268934793395
27,0.4713536425452241
28,0.8445342748936587
29,0.5759076231602217
30,0.5112136517521079
31,0.4750821058728864
32,0.6105793200065097
33,0.7648945877938953
34,0.44027680983893625
35,0.7055617685378219
36,0.4536627607057463
37,0.42196764520294905
38,0.42944806892280196
39,0.33829861767024194
40,0.37166195875984426
41,0.4095667069609413
42,0.47002346580486937
43,0.4386190675401937
44,0.6009233326244479
45,0.6124689560532227
46,0.43247732328655436
47,0.3165872336936181
48,0.3339942662104337
49,0.3591761656634943
50,0.45836656404419596
51,0.42053098289782914
52,0.4462059032835786
53,0.23909521706152004
54,0.3630814848088433
55,0.22601212133975743
56,0.3260404544527024
57,0.7105060146943353
58,0.6583972838059833
59,0.40002454147962485
60,0.5065275636739558
61,0.7371969468457894
62,0.21844425968552883
63,0.5693899081660845
64,0.35948428604877924
65,0.42992765029887964
66,0.3525202207241861
67,0.3827346104109163
68,0.5839240742905767
69,0.2799131794500106
70,0.26602094812437277
71,0.5541903211266745
72,0.5034170257088172
73,0.312222720923571
74,0.3620907218170822
75,0.27701953616858405
76,0.3620393376851306
77,0.4540208630678272
78,0.38519831474690774
79,0.31937731107048645
80,0.377717859587063
81,0.4047026505255638
82,0.7949359000274593
83,0.37815158618843897
84,0.7387178961079645
85,0.48028332896671394
86,0.4831301057580907
87,0.4384036841180849
88,0.3871180930145755
89,0.4611634401111149
90,0.47888502426029284
91,0.3068328421049044
92,0.45886199427678837
93,0.19651930433517023
94,0.39955255891913816
95,0.5580227163682889
96,0.34418459289475
97,0.4334201262947213
98,0.6490100458405893
99,0.43735163683165823
100,0.37132367641567376
101,0.35104285658078854
102,0.34969599810725477
103,0.6822586182373974
104,0.45550178814350145
105,0.42214685267136537
106,0.3987446895299052
107,0.3336831863934271
108,0.47884344211703495
109,0.6219896148023352
110,0.491954853583771
111,0.40168771532662756
112,0.37618112821311495
113,0.5441918894067942
114,0.2877409844717351
115,0.625883470952782
116,0.3903750418360775
117,0.9347666155463523
118,0.2718957017464855
119,0.3264439714708601
120,0.3573977755954696
121,0.3480212111675598
122,0.506097123218416
123,0.3254115995446093
124,0.44496731262480477
125,0.5515172023680283
126,0.3666248355534027
127,0.3811287330089866
128,0.4039400634635933
129,0.29578478743779957
130,0.5011715123507902
131,0.2998517236535441
132,0.389781420791593
133,0.31400497976132336
134,0.36333464665555953
135,0.401566431566622
136,0.30845805833114814
137,0.3005568249970503
138,0.7165624444204857
139,0.4349373235636381
140,0.4498618907791707
141,0.5104865754685355
142,0.48983381440282786
143,0.3533780953411791
144,0.40451177506639374
145,0.3633025383378325
146,0.3910830141969368
147,0.5132702620928642
148,0.6384819297851833
149,0.3290380205101683
150,0.2890873209516539
151,0.3106419295591894
152,0.4913357894412226
153,0.4098975205531851
154,0.5765706806201056
155,0.32702507143524756
156,0.5034105007290232
157,0.4824159486335612
158,0.4466959984684797
159,0.3607978562596839
160,0.3640850550513374
161,0.5113992370361284
162,0.32905274523571826
163,0.4142277764846365
164,0.5852032199516263
165,0.3351525719006967
166,0.36111501886224834
167,0.39952902711447974
168,0.3196653907677489
169,0.5200449616894329
170,0.39892819983466415
171,0.547958797445657
172,0.29886243743799545
173,0.504900978273763
174,0.414279937871629
175,0.36940528649591925
176,0.48017542245767003
177,0.4748048138432844
178,0.23282330654396108
179,0.28716982808420444
180,0.47999104019015276
181,0.4633630046660561
182,0.5258230005414667
183,0.5514667766927829
184,0.3426957919120105
185,0.35606076871181364
186,0.44843662055033073
187,0.41132137566208893
188,0.44149433134101507
189,0.5181191535939136
190,0.453939050532228
191,0.3906593138394628
192,0.43574199648402834
193,0.35141520552348116
194,0.4111777586168175
195,0.43184292118061196
196,0.39960474196647483
197,0.41496159104636404
198,0.590850289053918
199,0.38733122428674854
200,0.35040184072275454
201,0.48435688389381065
202,0.473715952646452
203,0.40310517983997773
204,0.802673632924308
205,0.3297145588755856
206,0.3165535237464762
207,0.2605089828297137
208,0.4351131859547539
209,0.39868640830454777
210,0.5032604439907312
211,0.3840684501474792
212,0.498712881262536
213,0.41982243793726925
214,0.4289283605917096
215,0.28422139738511193
216,0.35178382260756047
217,0.6113325807680922
218,0.16077436198283654
219,0.33997239432012544
220,0.4342716048069754
221,0.3735763023385058
222,0.6808662374438925
223,0.5701616829838053
224,0.4068516308357414
225,0.2977965190196533
226,0.2569009180171363
227,0.20799371139942957
228,0.44574434077852426
229,0.39351910674921886
230,0.360384273087587
231,0.3196363850043708
232,0.3700039731164163
233,0.3518840873954368
234,0.3805381488841309
235,0.574422490235582
236,0.32869736035425784
237,0.3336686014581452
238,0.4814826215637739
239,0.5408077946143219
240,0.4543035334778107
241,0.3467241096873347
242,0.6299475205288902
243,0.4996402669809204
244,0.28480913587708856
245,0.25997806246944816
246,0.4011439896729402
247,0.3151456051346518
248,0.18678580089863336
249,0.2585023244407495
250,0.431286026011233
251,0.36210303396597115
252,0.4932410720517138
253,0.41651330623102356
254,0.33446636207431946
255,0.4090864499843078
256,0.3141876433610757
257,0.6698702118766431
258,0.6226212459849936
259,0.4190839108318698
260,0.36762016894576227
261,0.45155794935238386
262,0.21424168651700773
263,0.5354883779744736
264,0.4334109299865763
265,0.4620111291613066
266,0.4923677017433319
267,0.6843869797349701
268,0.33586460439438576
269,0.22149686698881643
270,0.6387872471818444
271,0.3307086838765194
272,0.3902335200586246
273,0.5435790183341216
274,0.26130576207558287
275,0.31162606093186324
276,0.5104628114138541
277,0.41314206875352266
278,0.0336493995527149
279,0.3285897350644915
280,0.4411435761868232
281,0.30500740403749416
282,0.4422391571837802
283,0.3105101540529196
284,0.40406272408985583
285,0.4476778452139807
286,0.1775548468942854
287,0.44236502817296264
288,0.8103043524113832
289,0.4429294351647404
290,0.38707450228770707
291,0.22298841754485824
292,0.47389727940600007
293,0.37739532549698385
294,0.5809913438477515
295,0.5250461266456304
296,0.5401898233952266
297,0.7370767453156702
298,0.3917196617921599
299,0.46702185556003806
300,0.43776062855722997
301,0.2316614960780043
302,0.3930173895243347
303,0.27841498418682437
304,0.33387810839376264
305,0.3541974648367948
306,0.390817495990196
307,0.270142064287796
308,0.28456284244966296
309,0.3056021958763453
310,0.41623476015648747
311,0.41556495860712184
312,0.3081550873600955
313,0.3371416217968762
314,0.440519746916883
315,0.5137243287134583
316,0.7390175544893465
317,0.641485896556826
318,0.7412657867750703
319,0.36666095968827334
320,0.38999309515370595
321,0.2374893363535894
322,0.7070737154018509
323,0.38391565548955175
324,0.5484958481860716
325,0.42392020689023147
326,0.3634305294628656
327,0.7467158254767194
328,0.43997839920033893
329,0.36471865416940974
330,0.5623395589844652
331,0.44229149460423883
332,0.44268090070304295
333,0.35449422339864123
334,0.740712578855916
335,0.505297367621458
336,0.2930175244629786
337,0.35717552410994197
338,0.4642252654838817
339,0.35804057674299994
340,0.5798805772948344
341,0.5159279740909988
342,0.4705388695700656
343,0.3605175689788555
344,0.45048990467785555
345,0.3305609856335384
346,0.30037096017168163
347,0.3888079388500268
348,0.17634585243386314
349,0.4958354893638615
350,0.6938291553025339
351,0.3067977597505111
352,0.46960455886587443
353,0.5970461691202463
354,0.29490807868358615
355,0.7388748331483864
356,0.3116895986458401
357,0.5100022400840868
358,0.4317937155540135
359,0.3338477962531338
360,0.35714969108083877
361,0.5713789237570569
362,0.38925335250103776
363,0.6470717211989327
364,0.4709851598725078
365,0.5398251206165912
366,0.4547892531618815
367,0.3595971164262441
368,0.2701541436633719
369,0.4173974456427674
370,0.38609144427724856
371,0.5092470703549518
372,0.4095740599313798
373,0.4290904979385657
374,0.2721688242742368
375,0.6138345133661136
376,0.4290227665726513
377,0.45174422111808893
378,0.42321671920853104
379,0.39011421389012274
380,0.5915069382015906
381,0.40765391519123045
382,0.40577281412932426
383,0.46749989292309674
384,0.5709588391078946
385,0.3787454563211443
386,0.3978946619580972
387,0.3383238117260724
388,0.4513917556734435
389,0.4980863332854713
390,0.4588891353739185
391,0.2502404086848404
392,0.5640155706807763
393,0.5503669351367607
394,0.45641419308563763
395,0.4650385700711954
396,0.2831217711888202
397,0.36273759849322784
398,0.5536412659343933
399,0.5277614451677308
400,0.6912016681964761
401,0.48466772422503124
402,0.43826574355971465
403,0.6783785465573619
404,0.5224897408199153
405,0.321801736833555
406,0.3348713843573904
407,0.4856109920838043
408,0.29559441344393683
409,0.46583955251723264
410,0.46487990770810467
411,0.5271978083353215
412,0.47941745189910656
413,0.7549927321651353
414,0.4016895031226709
415,0.3687731868408197
416,0.46106168653302076
417,0.38291912627321906
418,0.3830701155254063
419,0.6241607570658816
420,0.351968665746072
421,0.47645460021844244
422,0.45544468740285105
423,0.3890097326822476
424,0.5423840857321562
425,0.25845629709353807
426,0.4336288766856932
427,0.3528081076297846
428,0.4805581668595967
429,0.453289056329831
430,0.4950690027641399
431,0.47457484939504146
432,0.22707118572673024
433,0.19179917593157703
434,0.6320781984033904
435,0.7181118234096618
436,0.4176698185140748
437,0.49022430371870207
438,0.6794751480007322
439,0.4942771423145263
440,0.4982809985227524
441,0.625223488755238
442,0.5469951271981736
443,0.5199972517025703
444,0.4410085650235018
445,0.5553049028175823
446,0.6332739618069634
447,0.4231011866858927
448,0.6742388445107746
449,0.5168216867956027
450,0.4642206976536273
451,0.6093293079955813
452,0.43585219170290734
453,0.43665738157772827
454,0.5419974856531007
455,0.3516693420297328
456,0.6439892973112914
457,0.8198046169690337
458,0.42378555786556626
459,0.4469119204880471
460,0.41708203766899965
461,0.527699802325034
462,0.3765048797130452
463,0.38182443336791266
464,0.4041642915877647
465,0.367030301848762
466,0.4363108016530217
467,0.39093548112397586
468,0.39635889430229454
469,0.4213900051702832
470,0.5528282368272066
471,0.21899755515203617
472,0.5187813650657577
473,0.40367555507391106
474,0.4085102705303786
475,0.39437322017088666
476,0.39815779864677836
477,0.2854909572349033
478,0.1601427313271231
479,0.2424583225602352
480,0.35439631222566687
481,0.47001768985981957
482,0.4201843584409908
483,0.3778009126233094
484,0.5423590312393615
485,0.41999051327529374
486,0.3720531154939133
487,0.40080323232682946
488,0.21112902964230956
489,0.3350865895323113
490,0.5950232958899773
491,0.4730977694834286
492,0.38199047845627365
493,0.42220519708013426
494,0.55318264981949
495,0.5794154145612147
496,0.7209497106880276
